Sample,Metric,Match Distance
60,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00557107
61,Uniformified 32-bit Hamming Metric Distance,0.993261
61,Uniformified 32-bit Approx Dual Streak Metric Distance,0.997936
61,Uniformified 32-bit Hash Metric Distance,0.00338132
61,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995521
61,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0072082
62,Uniformified 32-bit Hamming Metric Distance,0.635477
62,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
62,Uniformified 32-bit Hash Metric Distance,0.998564
62,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991321
62,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0101503
63,Uniformified 32-bit Hamming Metric Distance,0.243549
63,Uniformified 32-bit Approx Dual Streak Metric Distance,0.794294
63,Uniformified 32-bit Hash Metric Distance,0.00803503
63,Uniformified 32-bit Symmetric Wrap Metric Distance,0.985304
63,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00658123
64,Uniformified 32-bit Hamming Metric Distance,0.959931
64,Uniformified 32-bit Approx Dual Streak Metric Distance,0.913011
64,Uniformified 32-bit Hash Metric Distance,0.00270935
64,Uniformified 32-bit Symmetric Wrap Metric Distance,0.99348
64,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00944122
65,Uniformified 32-bit Hamming Metric Distance,0.85153
65,Uniformified 32-bit Approx Dual Streak Metric Distance,0.930895
65,Uniformified 32-bit Hash Metric Distance,0.000811694
65,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994714
65,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0108249
66,Uniformified 32-bit Hamming Metric Distance,0.982521
66,Uniformified 32-bit Approx Dual Streak Metric Distance,0.913011
66,Uniformified 32-bit Hash Metric Distance,0.00759567
66,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999376
66,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0137004
67,Uniformified 32-bit Hamming Metric Distance,0.756315
67,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
67,Uniformified 32-bit Hash Metric Distance,0.00119972
67,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998655
67,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00881775
68,Uniformified 32-bit Hamming Metric Distance,0.982521
68,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
68,Uniformified 32-bit Hash Metric Distance,0.00100935
68,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995224
68,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0155784
69,Uniformified 32-bit Hamming Metric Distance,0.982521
69,Uniformified 32-bit Approx Dual Streak Metric Distance,0.972326
