Sample,Metric,Match Distance
46,Uniformified 32-bit Approx Dual Streak Metric Distance,0.252675
46,Uniformified 32-bit Hash Metric Distance,0.809831
46,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999134
46,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0123388
47,Uniformified 32-bit Hamming Metric Distance,0.749875
47,Uniformified 32-bit Approx Dual Streak Metric Distance,0.975852
47,Uniformified 32-bit Hash Metric Distance,0.0884028
47,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993033
47,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0106503
48,Uniformified 32-bit Hamming Metric Distance,0.628637
48,Uniformified 32-bit Approx Dual Streak Metric Distance,0.970253
48,Uniformified 32-bit Hash Metric Distance,0.378691
48,Uniformified 32-bit Symmetric Wrap Metric Distance,0.985794
48,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00143791
49,Uniformified 32-bit Hamming Metric Distance,0.916708
49,Uniformified 32-bit Approx Dual Streak Metric Distance,0.975852
49,Uniformified 32-bit Hash Metric Distance,0.605148
49,Uniformified 32-bit Symmetric Wrap Metric Distance,0.983105
49,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00723752
50,Uniformified 32-bit Hamming Metric Distance,0.749875
50,Uniformified 32-bit Approx Dual Streak Metric Distance,0.912359
50,Uniformified 32-bit Hash Metric Distance,0.667264
50,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997756
50,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00581769
51,Uniformified 32-bit Hamming Metric Distance,0.916708
51,Uniformified 32-bit Approx Dual Streak Metric Distance,0.984302
51,Uniformified 32-bit Hash Metric Distance,0.676952
51,Uniformified 32-bit Symmetric Wrap Metric Distance,0.984179
51,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00539762
52,Uniformified 32-bit Hamming Metric Distance,0.959404
52,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
52,Uniformified 32-bit Hash Metric Distance,0.0565289
52,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994451
