Sample,Metric,Detour Difference
37,Uniformified 32-bit Hash Metric Distance,0.970631
37,Uniformified 32-bit Symmetric Wrap Metric Distance,1.35909
37,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.993483
38,Uniformified 32-bit Hamming Metric Distance,1.33982
38,Uniformified 32-bit Approx Dual Streak Metric Distance,0.920808
38,Uniformified 32-bit Hash Metric Distance,-0.21119
38,Uniformified 32-bit Symmetric Wrap Metric Distance,0.461352
38,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00079
39,Uniformified 32-bit Hamming Metric Distance,0.749875
39,Uniformified 32-bit Approx Dual Streak Metric Distance,0.986051
39,Uniformified 32-bit Hash Metric Distance,0.649366
39,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00509207
39,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.999982
40,Uniformified 32-bit Hamming Metric Distance,-0.19768
40,Uniformified 32-bit Approx Dual Streak Metric Distance,0.60094
40,Uniformified 32-bit Hash Metric Distance,0.774267
40,Uniformified 32-bit Symmetric Wrap Metric Distance,1.3741
40,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.99411
41,Uniformified 32-bit Hamming Metric Distance,0.745875
41,Uniformified 32-bit Approx Dual Streak Metric Distance,0.750775
41,Uniformified 32-bit Hash Metric Distance,0.32927
41,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.00535067
41,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00228
42,Uniformified 32-bit Hamming Metric Distance,0.709329
42,Uniformified 32-bit Approx Dual Streak Metric Distance,0.432957
42,Uniformified 32-bit Hash Metric Distance,0.378694
42,Uniformified 32-bit Symmetric Wrap Metric Distance,0.444349
42,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0053034
43,Uniformified 32-bit Hamming Metric Distance,-0.252325
43,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.409309
43,Uniformified 32-bit Hash Metric Distance,0.0721366
43,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0105989
43,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00392
44,Uniformified 32-bit Hamming Metric Distance,0.657534
44,Uniformified 32-bit Approx Dual Streak Metric Distance,0.518498
44,Uniformified 32-bit Hash Metric Distance,-0.488542
44,Uniformified 32-bit Symmetric Wrap Metric Distance,0.668482
44,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997516
45,Uniformified 32-bit Hamming Metric Distance,0.916708
45,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630087
45,Uniformified 32-bit Hash Metric Distance,0.631428
45,Uniformified 32-bit Symmetric Wrap Metric Distance,0.514764
45,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.0093209
46,Uniformified 32-bit Hamming Metric Distance,-0.0687431
46,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.342066
46,Uniformified 32-bit Hash Metric Distance,0.21398
46,Uniformified 32-bit Symmetric Wrap Metric Distance,1.195
46,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.993343
