Sample,Metric,Match Distance
53,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00868292
53,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00622778
54,Uniformified 32-bit Hamming Metric Distance,0.00244976
54,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
54,Uniformified 32-bit Hash Metric Distance,0.223102
54,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00052143
54,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000827938
55,Uniformified 32-bit Hamming Metric Distance,0.235526
55,Uniformified 32-bit Approx Dual Streak Metric Distance,0.108939
55,Uniformified 32-bit Hash Metric Distance,0.932468
55,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000738492
55,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995353
56,Uniformified 32-bit Hamming Metric Distance,0.354665
56,Uniformified 32-bit Approx Dual Streak Metric Distance,2.28271e-05
56,Uniformified 32-bit Hash Metric Distance,0.19511
56,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0164135
56,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.999961
57,Uniformified 32-bit Hamming Metric Distance,0.0179482
57,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
57,Uniformified 32-bit Hash Metric Distance,0.536814
57,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00208659
57,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00348597
58,Uniformified 32-bit Hamming Metric Distance,0.0179482
58,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
58,Uniformified 32-bit Hash Metric Distance,0.278061
58,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00508499
58,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000869886
59,Uniformified 32-bit Hamming Metric Distance,0.0386961
59,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
59,Uniformified 32-bit Hash Metric Distance,0.412953
59,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000883636
59,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0044089
60,Uniformified 32-bit Hamming Metric Distance,0.490701
60,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00814919
60,Uniformified 32-bit Hash Metric Distance,0.259867
60,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000785079
60,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.990228
61,Uniformified 32-bit Hamming Metric Distance,0.235526
61,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00519948
61,Uniformified 32-bit Hash Metric Distance,0.988873
61,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00449189
61,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997753
62,Uniformified 32-bit Hamming Metric Distance,0.0762924
62,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
62,Uniformified 32-bit Hash Metric Distance,0.643117
62,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00363663
62,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000136278
63,Uniformified 32-bit Hamming Metric Distance,0.0386961
63,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0167983
63,Uniformified 32-bit Hash Metric Distance,0.323284
63,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00367206
63,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997939
64,Uniformified 32-bit Hamming Metric Distance,0.0386961
64,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0774423
64,Uniformified 32-bit Hash Metric Distance,0.030038
64,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00386836
64,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997625
65,Uniformified 32-bit Hamming Metric Distance,0.354665
65,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
65,Uniformified 32-bit Hash Metric Distance,0.958639
65,Uniformified 32-bit Symmetric Wrap Metric Distance,0.013831
65,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00493096
66,Uniformified 32-bit Hamming Metric Distance,0.354665
66,Uniformified 32-bit Approx Dual Streak Metric Distance,0.108939
66,Uniformified 32-bit Hash Metric Distance,0.10143
66,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00723186
66,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00156174
67,Uniformified 32-bit Hamming Metric Distance,0.490701
67,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
67,Uniformified 32-bit Hash Metric Distance,0.671271
67,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0035059
67,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000970119
68,Uniformified 32-bit Hamming Metric Distance,0.140786
68,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0547445
68,Uniformified 32-bit Hash Metric Distance,0.296465
68,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00447273
68,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.998399
69,Uniformified 32-bit Hamming Metric Distance,0.0069993
69,Uniformified 32-bit Approx Dual Streak Metric Distance,0.263824
69,Uniformified 32-bit Hash Metric Distance,0.9441
69,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00336436
